,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,104159731433473294488957331275255689848539340236,2,1,1,0.0018115942028985507,0.0015255530129672007,od280/od315_of_diluted_wines <= 1.55,0
1,928621589127927934620961952074257259595278295629,3,3,0,0.0,0.0,Class 2,0
2,1052871194920993441818737509045147993910000871712,2,0,2,0.0,0.14950419527078565,color_intensity <= 3.92,1
3,974865452844501852414088129682891067748308496459,2,1,1,0.0018115942028985507,0.07322654462242563,od280/od315_of_diluted_wines > 1.55,1
4,1068362297394154331939546481152115534815977437510,2,1,1,0.005434782608695652,0.06102212051868802,proline > 655.0,2
5,1147257542945440298109815666246017244067397811172,3,3,0,0.0,0.0,Class 0,2
6,1148279938669790754215729121897496462984965481324,3,2,1,0.0036231884057971015,0.10526315789473684,flavanoids <= 1.49,0
7,1240190446691652705105982144740830513965194640214,2,1,1,0.0018115942028985507,0.04881769641495042,color_intensity > 3.72,0
8,1280789916563555737707221212909126619752974677243,3,1,2,0.010869565217391304,0.2662090007627765,alcohol > 12.82,2
9,797106788812963719742492307328922639117491321043,3,1,2,0.010869565217391304,0.13729977116704806,hue <= 1.28,2
10,835586238472917881507698440406073249879373748876,2,1,1,0.0036231884057971015,0.0030511060259344014,hue > 1.28,1
11,1295516035089298985562466588925829952795328483109,2,1,1,0.0,0.059496567505720827,alcohol <= 12.82,1
12,171982518954274878349485416184092168691833932185,8,8,0,0.0,0.0,Class 1,1
13,1357785810657263657942241561662650476548255074243,1,0,1,0.0,0.07017543859649122,color_intensity <= 3.82,1
14,1376517178499483625742052726475267650111226208399,6,2,4,0.021739130434782608,0.19832189168573608,flavanoids > 1.49,2
15,1450897470145768023651727489025036948030557829601,2,1,1,0.0,0.006102212051868803,proline <= 597.5,1
16,252219956412883325443447997580418187147783544222,2,1,1,0.005434782608695652,0.05644546147978643,proline > 597.5,2
17,535557477301355229859253488996077789210464271578,2,1,1,0.005434782608695652,0.0015255530129672007,nonflavanoid_phenols > 0.56,1
18,599969961404512934611620839415640019609919412209,2,1,1,0.0,0.06407322654462243,nonflavanoid_phenols <= 0.56,2
19,282115784803598831152382250301442637121136233319,2,0,2,0.0,0.4841088227815917,color_intensity > 3.82,2
20,535793277316296051714272567815522281297592212849,2,1,1,0.0018115942028985507,0.007627765064836003,proline <= 655.0,1
21,550354432724292976052435363765160536685368803534,2,1,1,0.0018115942028985507,0.009153318077803204,color_intensity <= 3.72,1
22,741399077406227925114440742795021662208961243404,2,0,2,0.0,0.47063310450038137,color_intensity > 3.92,2
23,746850178951739323456062208098408919002570272712,2,0,2,0.0,0.11594202898550725,flavanoids <= 1.34,0
24,912065685461379811819854423956719036340060341053,2,0,2,0.0,0.48029494024917363,flavanoids > 1.34,2
