,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1045315914758749848116619820432030612389001557357,1,0,1,0.0,0.23775971093044262,h (hue) > 83.0,0
1,928621589127927934620961952074257259595278295629,3,3,0,0.0,0.0,Class 2,0
2,291321940360601341427543755142065048602360615409,2,0,2,0.0,0.23523035230352304,h (hue) <= 99.94,0
3,171982518954274878349485416184092168691833932185,1,1,0,0.0,0.0,Class 1,1
4,58128852225532855277883227317277836157528354650,1,0,1,0.0,0.07335140018066848,h (hue) <= 83.0,2
5,150913633418211931633209064051558675044205003315,1,1,0,0.0,0.0,Class 3,2
6,632975324609078071390095858524201241614692539648,1,0,1,0.0,0.08093947606142728,a* > -1.13,0
7,865113050223009017464850073585259238911677667243,1,0,1,0.0,0.07461607949412827,a* <= -1.13,3
8,1147257542945440298109815666246017244067397811172,2,2,0,0.0,0.0,Class 0,3
9,884941755640306941894972171651680599574312470185,1,0,1,0.0,0.07588075880758807,h (hue) > 99.94,3
