,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1004107092792220597700933412347115848555369951573,3,1,2,0.0006107360977177756,0.021236959761549924,Titrable acidity (%) <= 0.45,0
1,1379430728954862691116232524934145308200414079804,3,1,2,0.0004821600771456123,0.006408345752608048,L* <= 39.2,0
2,483607144625480145282289468051045186965923415420,2,1,1,0.0,0.005365126676602086,L* > 39.2,0
3,1007397704996902988578252175655692301154926102709,2,0,2,0.0,0.06121460506706409,Titrable acidity (%) > 0.5,1
4,444094115950348580812714228545703992408839025769,3,1,2,6.428801028608164e-05,0.023546944858420266,h (hue) > 97.75,1
5,886381846505642939677216127532482033108080136666,3,1,2,7.500267866709524e-05,0.007749627421758568,h (hue) <= 97.75,2
6,1033476123531020319640284819313926626233542848325,3,1,2,0.00019286403085824494,0.001788375558867362,pH <= 3.59,2
7,1280021876391482070533232855769490502454512511994,2,1,1,2.1429336762027214e-05,0.0004470938897168405,moisture (%) > 85.22,0
8,558574073967247753315155215952483888851818098129,2,1,1,2.1429336762027214e-05,0.0004470938897168405,moisture (%) <= 85.22,2
9,1040374451221774915378452826578068538940253860328,2,1,1,2.1429336762027214e-05,0.0004470938897168405,b* > 34.53,2
10,171982518954274878349485416184092168691833932185,52,52,0,0.0,0.0,Class 1,2
11,1046223003098916665601534493025335881178202932358,3,1,2,0.000300010714668381,0.06903874813710881,pH <= 4.06,3
12,221601609672176298166638195128097607852538736842,3,1,2,0.00021429336762027214,0.010506706408345754,moisture (%) > 89.15,0
13,821807648810192939018406066905835344024456041947,3,1,2,0.00019286403085824494,0.026900149031296575,moisture (%) <= 89.15,3
14,1048045459050241055977932241140626991004891583769,2,1,1,4.285867352405443e-05,0.000894187779433681,a* <= -4.48,1
15,1147257542945440298109815666246017244067397811172,27,27,0,0.0,0.0,Class 0,1
16,1052080981069073409841568166899617286119073056154,5,2,3,0.005603771563270117,0.38436693956813167,h (hue) <= 91.91,0
17,631094119268173342799439457336144960361710913485,3,1,2,0.00507875281260045,0.23009722517919245,Ascorbic acid (%) <= 0.36,0
18,899880653089482230179767136013912255049701665534,3,1,2,0.0008036001285760205,0.044411326378539485,Ascorbic acid (%) > 0.36,3
19,928621589127927934620961952074257259595278295629,52,52,0,0.0,0.0,Class 2,0
20,1054707488170759147070339616237815000747450610517,2,1,1,4.285867352405443e-05,0.0004470938897168405,moisture (%) <= 89.5,2
21,1063051016810385142032064866210931038795106581293,2,1,1,4.285867352405443e-05,0.0004470938897168405,Soluble solids (Brix) <= 7.54,1
22,1065447310044489658749866671627339796492159763283,2,1,1,1.0714668381013607e-05,0.000894187779433681,a* > -0.86,0
