,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1033476123531020319640284819313926626233542848325,4,0,4,0.0,0.9904920520891631,pH <= 3.59,0
1,1286607521074712576082247024402654866971732064688,2,1,1,0.0001221001221001221,0.021972409612859053,a* <= -5.93,1
2,172570700721559514766643464984991052693956892483,3,1,2,0.0,0.559589287117377,a* > -5.93,0
3,291321940360601341427543755142065048602360615409,3,1,2,0.004517704517704517,0.5560534970647331,h (hue) <= 99.94,0
4,884941755640306941894972171651680599574312470185,2,1,1,0.0,0.02273007890985419,h (hue) > 99.94,1
5,1045315914758749848116619820432030612389001557357,2,1,1,0.0001221001221001221,0.026518425394829893,h (hue) > 83.0,0
6,928621589127927934620961952074257259595278295629,17,17,0,0.0,0.0,Class 2,0
7,1061258994462177643205813924955950140342388251269,2,1,1,0.0002442002442002442,0.006819023672956257,pH <= 3.12,1
8,1147257542945440298109815666246017244067397811172,9,9,0,0.0,0.0,Class 0,1
9,1075880908047808240713361640442586551562509832349,2,1,1,0.0,0.004546015781970838,Titrable acidity (%) <= 0.44,0
10,1084472504971095713599303212010158172732048000909,2,1,1,0.0,0.018184063127883354,Soluble solids (Brix) > 10.54,2
11,150913633418211931633209064051558675044205003315,12,12,0,0.0,0.0,Class 3,2
12,11026034990234590694113190645408889312282197536,2,1,1,0.0003663003663003663,0.007576692969951397,pH <= 3.57,3
13,171982518954274878349485416184092168691833932185,13,13,0,0.0,0.0,Class 1,3
14,1106519911530829607282802525857565979646678206111,2,0,2,0.0,0.18480816935873115,h (hue) > 91.94,3
15,1145903970973263129068625606234405082302789628198,3,1,2,0.0002442002442002442,0.06591722883857715,Soluble solids (Brix) > 8.1,3
16,917876037435558979444292570435775632111573945920,3,1,2,0.0009768009768009768,0.04748060927836208,Soluble solids (Brix) <= 8.1,1
17,1124214708711901784632261592738385992408427067215,3,1,2,0.0007326007326007326,0.004546015781970838,Soluble solids (Brix) <= 10.54,0
18,234534086546260556646474290584044243389362243534,2,1,1,0.0002442002442002442,0.0007576692969951397,L* <= 37.32,2
19,73273876854853732656651995017802847715470354704,2,1,1,0.0002442002442002442,0.0015153385939902795,L* > 37.32,0
20,1141171886509250108633803313762759364632317598722,3,1,2,0.0008547008547008547,0.054299632951318344,h (hue) > 83.16,3
21,438648928158438715776420509365858259430023075631,3,1,2,0.0009768009768009768,0.02121474031586391,pH > 3.12,3
22,215864466113973907364642850965078991750991372531,3,2,1,0.0002442002442002442,0.037125795552761846,a* > -6.25,3
23,828632179627429241546392220782975926162500647422,3,2,1,0.0003663003663003663,0.015153385939902795,a* <= -6.25,1
24,1156029226946417460411120005987263480294684547760,3,1,2,0.0028083028083028083,0.04331342814488882,a* > -1.48,0
25,1171607911464009919651217566447951881015905533191,2,1,1,0.0,0.013638047345912514,C > 35.41,0
26,656330601152502320523941500231896806842573521099,3,1,2,0.0020757020757020757,0.010607370157931955,C <= 35.41,0
27,1196030805107615260442444805656545874977727281816,2,1,1,0.0003663003663003663,0.0007576692969951397,L* <= 39.26,2
28,1225239750643852081735116648458375396099207414944,3,1,2,0.0019536019536019536,0.004546015781970838,C > 40.33,0
29,1433215243112716746962116211202774963746052030367,2,1,1,0.0002442002442002442,0.0007576692969951397,L* <= 45.28,3
30,201960734022669630274121168810618216839245773113,2,1,1,0.0002442002442002442,0.0015153385939902795,L* > 45.28,0
31,1258917479230421619024544981742912783002956218311,2,1,1,0.0001221001221001221,0.0015153385939902795,a* <= -1.48,3
32,1261056645227295243442974606942741361272008184084,6,2,4,0.009157509157509158,0.30821987001762285,b* > 34.19,0
33,1292656297939906169100712318992588194453224265915,2,1,1,0.0004884004884004884,0.004546015781970838,pH <= 3.06,3
34,376624685143907044500826627403845327535269468149,3,1,2,0.0030525030525030525,0.09054148099091919,pH > 3.06,0
35,395953053399577619766563170086130421461878054475,3,1,2,0.004884004884004884,0.10910437876730011,Soluble solids (Brix) > 10.33,0
36,711578617961146737258309832078260550721548495650,3,1,2,0.0020757020757020757,0.019446845289541922,Soluble solids (Brix) <= 10.33,3
37,1277064952263811754618807775814614188535770383233,2,1,1,0.0001221001221001221,0.003030677187980559,L* > 39.26,0
38,1281393697764656264815955344290868510567392350356,2,1,1,0.0,0.017426393830888214,a* <= -0.51,3
39,1329537678921448451216570554176787990961970583362,2,1,1,0.0002442002442002442,0.0037883464849756987,a* > 4.3,2
40,1353335033074668078878731105284762246985723046453,2,1,1,0.0001221001221001221,0.02045707101886877,h (hue) <= 83.16,2
41,1361514068313333687429821086195019620946379470876,3,1,2,0.0004884004884004884,0.03636812625576671,b* <= 36.51,0
42,537101635563151553339834765096437080021554640538,2,1,1,0.0002442002442002442,0.014395716642907655,a* <= 4.3,0
43,1385051438089916386544338316494292801581495274173,2,1,1,0.0003663003663003663,0.0015153385939902795,C > 31.64,2
44,1396849016710709157208158541361047992697779092135,3,1,2,0.001221001221001221,0.007576692969951397,h (hue) <= 91.79,0
45,1435100943600352620994701364138700779626908303675,2,1,1,0.0001221001221001221,0.016668724533893075,h (hue) > 91.79,3
46,1437751207416641024266773613552973079707103892939,2,1,1,0.0002442002442002442,0.018941732424878493,a* <= 3.76,0
47,171099943035894108283368887384025092113343952234,2,0,2,0.0,0.21202112494247327,L* > 39.22,3
48,30164547689449642531712395272166778408447551994,3,1,2,0.0004884004884004884,0.06819023672956258,h (hue) > 91.77,3
49,485690145707563179637120591785003973444632367980,3,1,2,0.0004884004884004884,0.04242948063172782,h (hue) <= 91.77,0
50,207942861663238963302456884504001990107596934366,6,2,4,0.003663003663003663,0.07172602678220655,b* <= 34.19,3
51,182142620025913465358084625447385089845992731951,2,1,1,0.0006105006105006105,0.0007576692969951397,C <= 31.64,0
52,206057975626540651871562749088881607060012673305,2,1,1,0.0004884004884004884,0.0015153385939902795,moisture (%) > 90.64,2
53,592069890209600373373756405717196424845335851137,3,1,2,0.0017094017094017094,0.004546015781970838,a* > -0.51,2
54,233523644663742208860643941844542396527264732766,2,1,1,0.0002442002442002442,0.0037883464849756987,h (hue) <= 98.71,3
55,288579802508551464886612234617728105897617675128,2,1,1,0.0003663003663003663,0.0037883464849756987,moisture (%) <= 90.64,0
56,300588774857894429339590461517709137132859290801,3,1,2,0.0003663003663003663,0.06478072489308444,Soluble solids (Brix) > 8.25,3
57,706772254567756667813036856092540173815118636777,2,1,1,0.0002442002442002442,0.016668724533893075,a* <= -6.11,1
58,893133304160914067511454910965438140145946374349,2,1,1,0.0002442002442002442,0.017426393830888214,a* > -6.11,3
59,33117350215083616905306911089271702049564767676,3,1,2,0.005006105006105006,0.06351794273142589,L* <= 48.8,0
60,755687046120711718408631453829183914138404584952,3,1,2,0.0029304029304029304,0.026644703610995742,C > 35.08,0
61,760993098673122852641849581297800609235411238935,3,1,2,0.0018315018315018315,0.007576692969951397,C <= 35.08,3
62,377644316882229244539586739534717182406972828871,2,0,2,0.0,0.09698167001537789,h (hue) <= 91.94,0
63,58128852225532855277883227317277836157528354650,2,1,1,0.0001221001221001221,0.021972409612859053,h (hue) <= 83.0,2
64,962038656351935698245407290704188339224939834085,2,1,1,0.0001221001221001221,0.002273007890985419,L* > 48.8,3
65,409906208162659978825867038221935343642166023916,2,1,1,0.0001221001221001221,0.012122708751922236,h (hue) > 83.78,0
66,42322632004270996612114940574247603562765640313,2,1,1,0.0003663003663003663,0.0015153385939902795,C <= 34.48,0
67,787451519028416344788556484963577066186470216139,2,1,1,0.0003663003663003663,0.003030677187980559,pH > 3.57,0
68,455077543040050111243244386922356144290380541636,2,1,1,0.0002442002442002442,0.003030677187980559,Titrable acidity (%) <= 0.41,3
69,471088379954129924535827068338115290203041774459,2,1,1,0.0002442002442002442,0.002273007890985419,a* > 3.76,2
70,544700272103686356642509313960608993219233182488,4,1,3,0.0004884004884004884,0.04609154890053766,Ascorbic acid (%) > 0.26,2
71,580951112558535834778725673955768058540023848546,4,1,3,0.0004884004884004884,0.011365039454927095,Ascorbic acid (%) <= 0.26,0
72,953617862266818285817851590651730063754526214869,2,1,1,0.0002442002442002442,0.0007576692969951397,Titrable acidity (%) > 0.44,2
73,610236023633099662921812143475679047359855490283,2,0,2,0.0,0.13638047345912516,L* <= 39.22,2
74,626136724188840706975014654977517055190556390170,2,1,1,0.0,0.009849700860936816,C <= 40.33,0
75,632975324609078071390095858524201241614692539648,2,0,2,0.0,0.15911055236897934,a* > -1.13,2
76,706523546064857414407140385401632909839909112523,3,1,2,0.0002442002442002442,0.06061354375961118,b* > 36.51,2
77,645340667649919778749902544681924473141234660451,2,1,1,0.0004884004884004884,0.0007576692969951397,L* <= 36.07,1
78,667039088175829265093975419612519485609929352216,3,1,2,0.0014652014652014652,0.013511769129746658,b* <= 29.76,1
79,678808772858332332062930184858114668138357183029,3,1,2,0.0014652014652014652,0.004546015781970838,Ascorbic acid (%) > 0.19,3
80,728822850759266237694751021851721051386810166661,2,1,1,0.0,0.003030677187980559,Ascorbic acid (%) <= 0.19,1
81,803426958417063675576520524785197286599261780127,2,1,1,0.0004884004884004884,0.0015153385939902795,L* > 36.07,3
82,683224045929651005168264827807252989106152625312,2,1,1,0.0001221001221001221,0.015153385939902795,h (hue) > 98.71,1
83,800581052227212883809370010958839780087852731961,2,1,1,0.0001221001221001221,0.018184063127883354,h (hue) <= 83.78,2
84,773769742027107098615951401302520881004512833141,3,1,2,0.001343101343101343,0.009092031563941677,Soluble solids (Brix) > 8.5,3
85,800811699769582515737269783322424073993890550751,2,1,1,0.0002442002442002442,0.002273007890985419,Soluble solids (Brix) <= 8.5,0
86,952773696701934411681838747037941257574060706301,2,1,1,0.0002442002442002442,0.002273007890985419,C > 34.48,3
87,816223516565240545219648189586125608707198400635,2,1,1,0.0001221001221001221,0.0015153385939902795,Titrable acidity (%) > 0.41,0
88,827288336830654864743838156142773642466574830628,2,0,2,0.0,0.18411363916981896,pH > 3.59,2
89,835977117396552192371638925957428120072145872582,3,1,2,0.0003663003663003663,0.037883464849756986,Soluble solids (Brix) <= 8.25,1
90,865113050223009017464850073585259238911677667243,2,0,2,0.0,0.15519592766783777,a* <= -1.13,3
91,959068172364232231845773672139366764362494903900,2,1,1,0.0,0.012880378048917375,b* > 29.76,1
