,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,100364865365421299755685108231307181546357833270,3,1,2,0.000877963125548727,0.0877273986517684,b* <= 45.49,0
1,147131503881930147869581273069846825984389660589,2,1,1,0.0004389815627743635,0.00219318496629421,a* > -0.72,1
2,900288441811324415764486871220967169574361277387,2,1,1,0.0004389815627743635,0.04167051435958999,a* <= -0.72,0
3,1017718797903812476359525818135634457977742947337,3,1,2,0.002414398595258999,0.06104364822852218,b* <= 49.11,1
4,1427173859256314545827792094032695600996018899097,3,1,2,0.002414398595258999,0.013159109797765259,b* <= 41.1,0
5,719220843434021369893726309579642152522367470202,2,1,1,0.0,0.01973866469664789,b* > 41.1,1
6,1018124792126132575855954492838477909276230225389,2,1,1,0.00021949078138718174,0.006579554898882629,L* <= 62.43,1
7,171982518954274878349485416184092168691833932185,14,14,0,0.0,0.0,Class 1,1
8,1024357455070348568310722817986323521553358631735,2,1,1,0.0006584723441615452,0.00219318496629421,Soluble solids (Brix) <= 11.99,2
9,928621589127927934620961952074257259595278295629,15,15,0,0.0,0.0,Class 2,2
10,1040705478887846423811483221016620374838008677314,2,1,1,0.0006584723441615452,0.00438636993258842,pH > 5.91,1
11,1065447310044489658749866671627339796492159763283,2,0,2,0.0,0.26756856588789363,a* > -0.86,1
12,363548572752999202082467051269800616705902907972,3,1,2,0.001975417032484636,0.15279188598516333,h > 83.2,1
13,900789013014046091387302194181176940995192682324,2,1,1,0.00021949078138718174,0.006579554898882629,h <= 83.2,2
14,1066789329200421398389804696020005814425807079260,3,1,2,0.0006584723441615452,0.04825006925847262,Pulp firmness (N) > 12.13,1
15,618894164043737545023147390329183719269873605004,2,1,1,0.0004389815627743635,0.00438636993258842,pH > 5.9,2
16,639560998591859179974858282022102273261456697483,2,1,1,0.00021949078138718174,0.01973866469664789,pH <= 5.9,1
17,1094455573069524367397237085915377061686254906870,2,1,1,0.0004389815627743635,0.00219318496629421,a* > -2.0,2
18,1100729790639394041484792556081227487079544920683,2,1,1,0.0004389815627743635,0.0219318496629421,L* > 62.43,2
19,1142977437475128763272233844220366120114889429732,2,1,1,0.00021949078138718174,0.0219318496629421,Soluble solids (Brix) > 9.25,2
20,1150889324427833458050626055931278772883497141018,2,1,1,0.00021949078138718174,0.04167051435958999,L* <= 59.05,0
21,1147257542945440298109815666246017244067397811172,8,8,0,0.0,0.0,Class 0,0
22,1167745483694469176272728459786893094077807969632,3,1,2,0.0013169446883230904,0.0438636993258842,pH > 5.78,2
23,438068334080982593703933251748919724366044702802,2,1,1,0.00021949078138718174,0.015352294764059471,b* > 46.12,2
24,916346060499648995352459236364729940148396985280,2,1,1,0.0006584723441615452,0.006579554898882629,b* <= 46.12,1
25,1179509828436497955720284226112439845142119044679,2,0,2,0.0,0.2966282666912919,h <= 93.24,1
26,1327436934527753886210900238238016308041266571043,3,1,2,0.0006584723441615452,0.04825006925847262,Soluble solids (Brix) <= 12.16,2
