,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1006015743130063482279049082774294838702154608521,2,1,1,2.571928260347725e-05,0.00216421021654364,Soluble solids (Brix) > 12.43,0
1,1147257542945440298109815666246017244067397811172,35,35,0,0.0,0.0,Class 0,0
2,101242473909957164663655470462749364905938816869,3,1,2,0.0006172627824834539,0.019928769077339353,a* <= 10.28,1
3,101351817356237150112982645285795986400710219186,3,1,2,0.0002571928260347725,0.00432842043308728,Pulp firmness (N) <= 4.81,1
4,1026981299301095472809884928189785024834622344288,3,1,2,0.00030863139124172697,0.007574735757902739,Pulp firmness (N) > 4.81,1
5,1248716690974304510814265218686235100933749840915,2,1,1,5.14385652069545e-05,0.00108210510827182,h > 85.96,2
6,949526123991386925780420993153452633814070267128,2,1,1,3.429237680463633e-05,0.00108210510827182,h <= 85.96,1
7,1020262147412258646243184633003229259628092088653,3,1,2,0.0007201399128973629,0.0667117799249577,Pulp firmness (N) <= 23.46,0
8,147657714541677709700105251277360053532473257220,3,1,2,0.0007544322897019992,0.028856136220581866,h <= 93.48,0
9,633283067534296929687074564360934792623410180392,2,1,1,0.0,0.011903156190990019,h > 93.48,0
10,1022420658159946451426497016644330975674358995530,3,1,2,0.0007544322897019992,0.016411927475455935,b* <= 50.3,2
11,394751087651758750323772806023677996856326285054,3,1,2,0.0005658242172764995,0.009017542568931834,Pulp firmness (N) <= 13.59,2
12,575075287305946036133788801239955952383251493079,2,1,1,5.14385652069545e-05,0.00108210510827182,Pulp firmness (N) > 13.59,2
13,1024357455070348568310722817986323521553358631735,2,1,1,6.858475360927266e-05,0.00108210510827182,Soluble solids (Brix) <= 11.99,1
14,928621589127927934620961952074257259595278295629,39,39,0,0.0,0.0,Class 2,1
15,1024526851097762256697871838561806701219121890791,2,1,1,3.429237680463633e-05,0.00216421021654364,L* <= 58.11,0
16,196487320482836796503008170918074437221882337281,2,1,1,0.00012002331881622716,0.00432842043308728,c <= 49.91,1
17,377730103783472118339574318619107056345769425184,2,1,1,1.7146188402318165e-05,0.00108210510827182,c > 49.91,1
18,1032624643936130364096913570950743094941982493498,3,1,2,0.0007372861012996811,0.2379111138164956,h > 88.88,0
19,1151988253644322542466818799397898966540231276497,3,1,2,0.0009773327389321353,0.16740166024965053,a* <= 0.29,0
20,221899733830631046822499043561941173546269436448,2,1,1,5.14385652069545e-05,0.00216421021654364,a* > 0.29,2
21,1032815018810014055002756738473753741828347450633,2,1,1,1.7146188402318165e-05,0.0032463153248154597,L* <= 59.21,0
22,1041762420542617266864549156557351560162848118671,3,1,2,0.00022290044923013616,0.07753283100767588,L* <= 67.59,1
23,1264470143122280354871286382784768586840251783846,3,1,2,0.00012002331881622716,0.0064926306496309195,L* <= 60.78,1
24,429524053125233212186535330274508127921580740240,3,1,2,0.00027433901443709065,0.042833327202426205,L* > 60.78,1
