,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1002624856232918313610552894601122424780717920185,2,0,2,0.0,0.1645671834625323,b* <= 46.43,0
1,108924507013326188049669977231630994679384668537,2,1,1,0.0,0.036821705426356585,a* <= -2.38,0
2,1315232733464719348764946367146395406172263782944,3,1,2,0.0009575923392612859,0.04941860465116279,a* > -2.38,1
3,1018124792126132575855954492838477909276230225389,2,1,1,6.839945280437756e-05,0.015503875968992248,L* <= 62.43,1
4,171982518954274878349485416184092168691833932185,20,20,0,0.0,0.0,Class 1,1
5,1053339282963833092537473121832552774598316574228,2,1,1,0.00027359781121751026,0.03488372093023256,Soluble solids (Brix) <= 13.31,0
6,1147257542945440298109815666246017244067397811172,9,9,0,0.0,0.0,Class 0,0
7,1065447310044489658749866671627339796492159763283,2,0,2,0.0,0.24127906976744187,a* > -0.86,1
8,363548572752999202082467051269800616705902907972,3,1,2,0.0012311901504787962,0.12984496124031006,h > 83.2,1
9,900789013014046091387302194181176940995192682324,2,1,1,0.00013679890560875513,0.005813953488372093,h <= 83.2,2
10,1085812862462341487924254308444832507987177937118,2,1,1,0.00027359781121751026,0.005813953488372093,a* <= -2.09,0
11,1100729790639394041484792556081227487079544920683,3,1,2,0.0012995896032831737,0.15326227390180877,L* > 62.43,2
12,1291833071077768426810339024699577228802670388230,3,1,2,0.0019151846785225718,0.08559431524547804,a* > -0.83,2
13,371997117649557759549294001334200282062928270114,2,1,1,0.0002051983584131327,0.001937984496124031,a* <= -0.83,1
14,1149004814626914765544600800933632392457614361208,2,1,1,0.00013679890560875513,0.001937984496124031,b* > 49.71,2
15,928621589127927934620961952074257259595278295629,18,18,0,0.0,0.0,Class 2,2
16,1167745483694469176272728459786893094077807969632,3,1,2,0.0013679890560875513,0.05943152454780362,pH > 5.78,2
17,413791078567301731102052447792661167638778951286,3,1,2,0.0009575923392612859,0.031007751937984496,Soluble solids (Brix) > 11.49,2
18,667402563213315587360272000162476309757191508999,2,1,1,0.0004103967168262654,0.003875968992248062,Soluble solids (Brix) <= 11.49,1
19,117811686778556856506472942910811686239332465444,3,1,2,0.0016415868673050615,0.01937984496124031,Soluble solids (Brix) <= 13.05,0
20,194007653393045693656865483854334209242596264681,2,1,1,0.0005471956224350205,0.001937984496124031,Pulp firmness (N) > 47.31,1
21,50046819454750340094333776424292729635145831926,2,1,1,0.0005471956224350205,0.007751937984496124,Pulp firmness (N) <= 47.31,0
22,1191843811835256415735276048641703014922426348333,3,1,2,0.0008207934336525308,0.015503875968992248,b* <= 46.01,2
23,510924190344574800982132112283334756284484905862,2,1,1,0.00013679890560875513,0.005813953488372093,pH > 5.77,2
24,751312407136877361314507274276584828305670816861,2,1,1,0.0004103967168262654,0.001937984496124031,pH <= 5.77,0
25,1207064520713413156316639969735683907343243843067,2,0,2,0.0,0.16763565891472867,h > 92.21,0
26,157340590384424765957631517432847665447858729073,2,1,1,0.00013679890560875513,0.005813953488372093,L* > 59.94,1
27,257171501371726287660242346891373122740474737990,3,1,2,0.0005471956224350205,0.08139534883720931,L* <= 59.94,0
28,1264601975247413841088236893431784416164979270187,2,1,1,0.00013679890560875513,0.007751937984496124,L* <= 62.88,1
29,1273497811980503717168243936461986221359672436367,2,0,2,0.0,0.16333979328165377,a* <= -0.86,0
30,1394715673304872312712106834948046365770634629729,3,1,2,0.0012311901504787962,0.06976744186046512,b* > 42.14,0
31,818331686905301194243840820374191188199234908711,2,1,1,0.0,0.03294573643410853,b* <= 42.14,0
32,1275015214281904381674712909237280919439754490422,2,1,1,0.00013679890560875513,0.001937984496124031,Soluble solids (Brix) > 13.05,2
33,1287018431652670614563950384115759583605941184275,3,1,2,0.0012311901504787962,0.05361757105943153,pH <= 5.78,2
34,1292209924913020228066153476297017593072799727876,2,1,1,0.00013679890560875513,0.007751937984496124,pH <= 5.68,1
35,64318828741510875292213226130050859040070756205,3,1,2,0.001094391244870041,0.023255813953488372,pH > 5.68,2
36,400276105286817805395997994110122489235844297001,3,1,2,0.0013679890560875513,0.011627906976744186,h <= 84.52,1
37,483848198936108624687399677872710964001812017691,3,1,2,0.0008207934336525308,0.03875968992248062,h > 84.52,2
38,1302108355458830527851596163635347045826221207876,2,1,1,0.00027359781121751026,0.023255813953488372,b* <= 49.71,1
39,130261189408408237841033158262010229047903372684,2,0,2,0.0,0.3672480620155039,c > 42.36,2
40,553017169117130177994172269236344686350261520212,3,1,2,0.0015047879616963064,0.17603359173126618,L* > 59.72,2
41,977353634415539506636853625375045743007620213601,3,1,2,0.0008207934336525308,0.03875968992248062,L* <= 59.72,2
42,1310401785575199169555023355951060860763393822924,2,1,1,0.00013679890560875513,0.01744186046511628,c > 47.93,2
43,274973809191292277873484447720314677221068496125,2,1,1,0.00027359781121751026,0.013565891472868219,Pulp firmness (N) > 12.38,1
44,757749523606171217782735664207573825518310771555,3,1,2,0.001094391244870041,0.011627906976744186,Pulp firmness (N) <= 12.38,2
45,1327436934527753886210900238238016308041266571043,3,1,2,0.001094391244870041,0.10691214470284238,Soluble solids (Brix) <= 12.16,2
46,1350287430949618597804882125343415899990542136406,3,1,2,0.0015047879616963064,0.05232558139534884,a* > -2.09,2
47,1333262258388855867154415936787826542250528609864,1,0,1,0.0,0.03488372093023256,c <= 42.36,0
48,1340850861998317183622898696224276174171052755349,3,1,2,0.0015047879616963064,0.03940568475452196,b* <= 49.07,1
49,618894164043737545023147390329183719269873605004,3,1,2,0.0015047879616963064,0.007751937984496124,pH > 5.9,1
50,639560998591859179974858282022102273261456697483,2,1,1,0.0,0.013565891472868219,pH <= 5.9,1
51,1359967154929077878235594737764471286706958193038,3,1,2,0.0012311901504787962,0.023255813953488372,a* <= 3.38,2
52,825780255022287879672941422277599285704209514713,2,1,1,0.00027359781121751026,0.007751937984496124,a* > 3.38,2
53,1446583797432872741717613499042764263700719161817,2,1,1,0.00013679890560875513,0.005813953488372093,a* <= 0.81,2
54,785836729527455889556143390964116196906654484269,2,1,1,0.0005471956224350205,0.005813953488372093,a* > 0.81,1
55,1369898946021005452352195235415661366269553690475,2,1,1,0.00027359781121751026,0.003875968992248062,c <= 43.0,2
56,1382527610545245639638527797661619076501941961470,2,1,1,0.00027359781121751026,0.007751937984496124,Pulp firmness (N) <= 10.43,2
57,1388358506484418252423029314107019501357666710397,3,1,2,0.0006839945280437756,0.09463824289405685,Pulp firmness (N) <= 27.05,2
58,823957537121609756898834812076529766798350170588,3,1,2,0.0008207934336525308,0.050387596899224806,Soluble solids (Brix) <= 13.41,2
59,885071160546504925339396705732812154390805305597,2,1,1,0.00013679890560875513,0.003875968992248062,Soluble solids (Brix) > 13.41,1
60,1388877299958888537364557215311232103611122453189,2,1,1,0.00027359781121751026,0.007751937984496124,b* > 46.01,2
61,1449280582570619160753937190872871958312036035257,3,1,2,0.0016415868673050615,0.041020671834625315,c > 43.0,0
62,141114545726521666411252224039316704383621839986,3,1,2,0.0006839945280437756,0.10239018087855296,Soluble solids (Brix) > 12.16,1
63,141460841446819204974258940650058779012080515817,3,1,2,0.0006839945280437756,0.050387596899224806,Pulp firmness (N) > 10.43,1
64,1417838476591190348187783323521848112152183583648,2,1,1,0.00013679890560875513,0.001937984496124031,a* <= -0.13,1
65,1427173859256314545827792094032695600996018899097,2,0,2,0.0,0.06201550387596899,b* <= 41.1,0
