,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1330305355836427141310510120453409936363787527595,1,0,1,0.0,0.03520408163265306,pH <= 4.31,0
1,1147257542945440298109815666246017244067397811172,2,2,0,0.0,0.0,Class 0,0
2,177267499210149510724253963525281511412675617616,1,0,1,0.0,0.08877551020408164,pH > 4.75,1
3,928621589127927934620961952074257259595278295629,3,3,0,0.0,0.0,Class 2,1
4,47635510756424328729794967520824764353044331683,2,0,2,0.0,0.16836734693877553,pH > 4.85,2
5,150913633418211931633209064051558675044205003315,2,2,0,0.0,0.0,Class 3,2
6,5771222888430697625926571315532113256585960605,1,0,1,0.0,0.13163265306122449,pH <= 4.85,3
7,171982518954274878349485416184092168691833932185,1,1,0,0.0,0.0,Class 1,3
8,593582945782690037149796047474941708010354689197,1,0,1,0.0,0.11479591836734694,pH > 4.31,1
9,763212543587750217808106594112871041545025736785,1,0,1,0.0,0.1239795918367347,Tit Acid > 0.12,2
10,775650655566268222195963750769541160664287144256,1,0,1,0.0,0.02602040816326531,Tit Acid <= 0.12,4
11,1195054242563020476783971172209845772931465202363,1,1,0,0.0,0.0,Class 4,4
12,953013916229408958655391420495312068437993458202,1,0,1,0.0,0.06122448979591837,pH <= 4.75,0
