,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
0,100355699843047465067178463041045147428005271050,2,1,1,0.0,0.004517021086405383,pH <= 5.35
1,928621589127927934620961952074257259595278295629,51,51,0,0.0,0.0,Class 2
2,1017599768786735048464572964633161441725643638065,3,1,2,0.004208456243854474,1.4137015436707676,Brix > 11.07
3,78929301915197830927275187076306325025229731185,5,2,3,0.03071779744346116,1.4224479676160835,moisture > 85.06
4,896638563637099557646821839675178859389402911103,5,2,3,0.0031071779744346116,0.004968723195045922,moisture <= 85.06
5,1039644001710311114305057624204376969195728974014,2,1,1,0.0,0.0067755316296080744,Tit Acid <= 0.23
6,171982518954274878349485416184092168691833932185,28,28,0,0.0,0.0,Class 1
7,1040952865803721929906599721084890774852026858547,6,2,4,0.009085545722713865,2.1789067807658427,Pheno > 0.72
8,1047079156029689005341523092134779784460317576067,8,3,5,0.02385447394296952,1.4596796653700066,Brix <= 10.47
9,1329907479955885769404976189624453827909930603141,2,1,1,0.0,0.003161914760483768,moisture <= 89.16
10,165644917979433045096778224233875896118673456949,9,3,6,0.024975417895771877,2.5123293723501003,Brix > 10.47
11,880906355044111715629274031211066252453008613553,2,1,1,3.9331366764995083e-05,0.0004517021086405383,moisture > 89.16
12,1043498684616219590488399871951774367965750228378,3,1,2,0.0029301868239921336,2.5623093307320013,Brix > 10.62
13,1419060244117965495412029413417760007259458564683,2,1,1,1.9665683382497542e-05,0.0013551063259216148,Brix > 12.85
14,454790473848408353201751758466431519326046225362,3,1,2,0.004267453294001967,2.5502543270180342,Brix <= 12.85
15,1043903249785310589747781639007621873485197433743,2,1,1,5.899705014749262e-05,0.0004517021086405383,pH > 3.96
16,104647647231053249401406611198140964809741850694,2,1,1,0.0,0.0009034042172810766,pH > 4.94
17,1237265994102648826715151826126075249469806378295,3,1,2,0.02133398885611275,1.6252304843450722,Brix <= 9.28
18,1254609139350073366408358171331618191603227032344,3,1,2,0.0008685676827269749,1.6885073376870696,moisture > 87.96
19,533735226380233132854068706426231558692711368887,2,1,1,0.0,0.004065318977764845,Brix > 9.28
20,647291524414615663051227101926122920500217886230,2,1,1,0.0,0.0022585105432026916,moisture <= 87.96
21,1064722700211612430482514847059080720237476709767,7,1,6,0.02776794493608653,3.2470898252020777,Tit Acid <= 0.25
22,314857879696376171423608953820670847835654884757,6,2,4,0.015063913470993118,2.3968649273637332,pH > 4.73
23,427126028839433250346413229071032180560802580904,8,2,6,0.014591937069813175,2.9931916548725996,Pheno > 0.6
24,730699573538352139692191826491930980328647852283,5,2,3,0.006096361848574238,0.052623295656622715,pH <= 4.73
25,818300426017039898302815959957484483327736126221,3,1,2,0.003018682399213373,0.004517021086405383,Tit Acid > 0.23
26,982119225243198413857918285177710587335623039998,7,2,5,0.006086529006882989,0.011292552716013456,Pheno <= 0.6
27,1072133880569573387818734585571448733401927403419,3,1,2,0.0030678466076696164,0.0036136168691243064,Pheno <= 0.63
28,472369138574493424906956306166243931374203715470,2,1,1,3.9331366764995083e-05,0.0013551063259216148,moisture <= 87.38
29,527229230963226377677302819108613815361637862950,2,1,1,3.9331366764995083e-05,0.0004517021086405383,moisture > 87.38
30,1077766440587969615108921971347658648400205152291,2,1,1,0.00011799410029498524,0.0009034042172810766,Brix > 11.65
31,1195054242563020476783971172209845772931465202363,24,24,0,0.0,0.0,Class 4
32,1078664175220452826181491234246161857680321264899,5,2,3,0.00983284169124877,0.027358091046661936,Pheno <= 0.78
33,1275507691733625221918920970171520347395180116926,3,1,2,0.007079646017699115,0.020176027519277374,moisture <= 84.82
34,1306243074544277973079447867401076076051415204594,2,1,1,0.0,0.0036136168691243064,moisture > 84.82
35,150913633418211931633209064051558675044205003315,33,33,0,0.0,0.0,Class 3
36,1082048259293728021355499586353010410433592618954,2,1,1,1.9665683382497542e-05,0.0013551063259216148,moisture > 87.02
37,108373009243295741366769533404488704288210765092,2,1,1,1.9665683382497542e-05,0.006323829520967536,pH > 4.24
38,1084251021297852025110799230501022317851666576367,9,4,5,0.009714847590953786,0.015357871693778303,Tit Acid > 0.16
39,1222606835484573781895929093124951088888598819094,2,1,1,3.9331366764995083e-05,0.0004517021086405383,pH <= 5.09
40,505999025934227433070684395903690609806529295127,2,1,1,3.9331366764995083e-05,0.0004517021086405383,pH > 5.09
41,520138005686279619394342881595163568954742703111,3,1,2,0.003264503441494592,0.005420425303686459,Brix > 10.17
42,535831275340651710061061031017769768325599227142,2,1,1,0.0,0.0009034042172810766,Brix <= 10.17
43,108695551173216811220809398532289050002057560322,3,1,2,0.01631268436578171,2.093822480143678,pH > 5.16
44,1226999407028174264856564375386384119756490121214,3,1,2,0.01766961651917404,2.3669178434338516,pH > 5.35
45,1092810479860852010962744361185020914673156703389,2,1,1,0.0,0.0022585105432026916,moisture <= 85.23
46,110446626826307389898629859452394264952855631815,2,1,1,0.0006489675516224188,0.0009034042172810766,Tit Acid <= 0.3
47,1105409889957482382147904612606127892453833009698,5,2,3,0.006037364798426746,0.021380566475652146,Tit Acid > 0.24
48,1147257542945440298109815666246017244067397811172,21,21,0,0.0,0.0,Class 0
