,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1040952865803721929906599721084890774852026858547,6,4,2,0.00047603935258648045,0.01728831015964099,Pheno > 0.72,0
1,171982518954274878349485416184092168691833932185,17,17,0,0.0,0.0,Class 1,1
2,928621589127927934620961952074257259595278295629,29,29,0,0.0,0.0,Class 2,0
3,1043903249785310589747781639007621873485197433743,2,1,1,5.289326139849783e-05,0.007858322799836814,pH > 3.96,1
4,1047079156029689005341523092134779784460317576067,3,1,2,0.0030149158997143763,1.1634901765391725,Brix <= 10.47,0
5,122445604033908938473078190630948358698133432926,3,1,2,0.0023273035015339044,0.020955527466231503,Brix <= 8.88,2
6,158059194345770793863619625413686121428844757978,3,1,2,0.004654607003067809,1.223219042905646,Brix > 8.88,0
7,1060084067161209962842478628692160995414009753795,3,1,2,0.0007405056595789696,0.033921760085962246,moisture > 86.88,0
8,624005623655726474188392415263575322370572793900,8,4,4,0.003385168729503861,0.01728831015964099,Pheno <= 0.72,2
9,1060955779595425748725945873660970247599097926850,2,1,1,0.00013223315349624457,0.0007858322799836814,Brix <= 10.3,0
10,1062954839499741435099281870671573353624379985300,2,1,1,0.00031735956839098697,0.0007858322799836814,moisture <= 73.5,3
11,150913633418211931633209064051558675044205003315,15,15,0,0.0,0.0,Class 3,3
12,1070273689123157126391876039198756885761013090596,3,1,2,0.0002115730455939913,0.01100165191977154,pH <= 3.9,4
13,478978841060079567412714578692729068041119193452,2,1,1,0.00010578652279699566,0.004714993679902088,Tit Acid > 0.34,4
14,66720490521188455368693219024132734792714896895,2,1,1,0.00010578652279699566,0.0007858322799836814,Tit Acid <= 0.34,1
15,1072133880569573387818734585571448733401927403419,3,1,2,0.0002115730455939913,0.006286658239869451,Pheno <= 0.63,4
16,1220406208029421398891215352067484920853928295930,2,1,1,0.00010578652279699566,0.0007858322799836814,Pheno > 0.62,1
17,1233198855909382054836554163560023233305861086389,2,1,1,0.00010578652279699566,0.002357496839951044,Pheno <= 0.62,4
18,1075813379524996807643429599466753799092299370004,3,1,2,0.014968792975774886,0.9829997818990315,Brix > 10.6,0
19,1098185664989343046012160366509114351270866542056,2,1,1,0.00010578652279699566,0.0015716645599673628,Tit Acid > 0.14,0
20,905638127712786336374745985074473946082791119647,3,1,2,0.018830001057865225,1.113040991517045,Tit Acid <= 0.14,0
21,1078664175220452826181491234246161857680321264899,3,1,2,0.00047603935258648045,0.012573316479738902,Pheno <= 0.78,0
22,1185884278337992742856356075127001292993529548115,2,1,1,5.289326139849783e-05,0.00550082595988577,Pheno > 0.68,0
23,401849052094181080436076126418024594358650184652,2,1,1,0.0002115730455939913,0.0007858322799836814,Pheno <= 0.68,3
24,1078718250260529169811044400086132239331939615427,2,1,1,0.00013223315349624457,0.003929161399918407,moisture > 88.08,0
25,108695551173216811220809398532289050002057560322,3,1,2,0.005183539617052787,1.182127215290173,pH > 5.16,0
26,1351945955060965088498220515028432149719863926292,6,3,3,0.004284354173278324,0.05566311983217743,Tit Acid <= 0.11,2
