,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,1039644001710311114305057624204376969195728974014,1,0,1,0.0,0.06621315192743765,Tit Acid <= 0.23,0
1,150913633418211931633209064051558675044205003315,4,4,0,0.0,0.0,Class 3,0
2,108695551173216811220809398532289050002057560322,1,0,1,0.0,0.028117913832199543,pH > 5.16,1
3,1195054242563020476783971172209845772931465202363,4,4,0,0.0,0.0,Class 4,1
4,114288386783329094858692510758135355427541248708,1,0,1,0.0,0.060770975056689346,pH <= 5.16,2
5,928621589127927934620961952074257259595278295629,4,4,0,0.0,0.0,Class 2,2
6,1330305355836427141310510120453409936363787527595,1,0,1,0.0,0.020861678004535148,pH <= 4.31,3
7,1147257542945440298109815666246017244067397811172,3,3,0,0.0,0.0,Class 0,3
8,1459505541307075317069583903840023895269513889914,1,0,1,0.0,0.037188208616780044,Pheno <= 0.7,1
9,177267499210149510724253963525281511412675617616,1,0,1,0.0,0.052607709750566896,pH > 4.75,2
10,47635510756424328729794967520824764353044331683,3,0,3,0.0,0.19954648526077098,pH > 4.85,1
11,5771222888430697625926571315532113256585960605,1,0,1,0.0,0.15600907029478459,pH <= 4.85,4
12,171982518954274878349485416184092168691833932185,1,1,0,0.0,0.0,Class 1,4
13,593582945782690037149796047474941708010354689197,1,0,1,0.0,0.06802721088435375,pH > 4.31,2
14,763212543587750217808106594112871041545025736785,1,0,1,0.0,0.07346938775510205,Tit Acid > 0.12,0
15,775650655566268222195963750769541160664287144256,1,0,1,0.0,0.015419501133786848,Tit Acid <= 0.12,1
16,818300426017039898302815959957484483327736126221,1,0,1,0.0,0.022675736961451247,Tit Acid > 0.23,3
17,945983268971432222548859207615769581540823239463,1,0,1,0.0,0.05170068027210884,Pheno > 0.7,0
18,953013916229408958655391420495312068437993458202,1,0,1,0.0,0.03628117913832199,pH <= 4.75,3
