,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label,Community
0,100355699843047465067178463041045147428005271050,2,1,1,0.0,0.005475293565702143,pH <= 5.35,0
1,928621589127927934620961952074257259595278295629,49,49,0,0.0,0.0,Class 2,0
2,1008735715616984285175406527072402270956929764431,3,1,2,0.0025593844095015057,0.0018250978552340478,moisture <= 82.29,1
3,317941571541460063651988726798590958196687947450,2,1,1,1.672800267648043e-05,0.00045627446380851194,moisture > 77.75,0
4,882921113826551691757327700518952611644113607498,2,1,1,6.691201070592172e-05,0.00045627446380851194,moisture <= 77.75,1
5,1010046219272533096104760473819206042211739377642,2,1,1,0.0,0.0036501957104680956,pH > 4.16,1
6,171982518954274878349485416184092168691833932185,35,35,0,0.0,0.0,Class 1,1
7,101808344089847205341711026940422587424002819247,2,1,1,0.0001589160254265641,0.0013688233914255358,pH > 5.41,2
8,1195054242563020476783971172209845772931465202363,23,23,0,0.0,0.0,Class 4,2
9,1023476827254154405379055664415699571984251753915,2,1,1,6.691201070592172e-05,0.00045627446380851194,moisture <= 86.51,3
10,150913633418211931633209064051558675044205003315,35,35,0,0.0,0.0,Class 3,3
11,1026042788165573799036895541827035916749590738414,2,1,1,1.672800267648043e-05,0.0009125489276170239,moisture <= 82.37,0
12,1039644001710311114305057624204376969195728974014,2,1,1,0.0,0.007756665884744702,Tit Acid <= 0.23,1
13,1040952865803721929906599721084890774852026858547,9,3,6,0.04660421545667447,1.7159584519814122,Pheno > 0.72,0
14,1308425805814366873910502507832070611603025885708,3,1,2,0.005185680829708933,0.021520945542968142,pH <= 5.17,3
15,1312310949554463399287816576824423061306594586155,6,2,4,0.018066242890598865,1.251189497510371,moisture <= 88.58,1
16,1329907479955885769404976189624453827909930603141,2,1,1,0.0,0.011406861595212796,moisture <= 89.16,0
17,14031532405571743634624912828080204254597625767,3,1,2,0.0025092004014720644,0.012775684986638334,pH > 5.17,0
18,567209310890593965756633184996901447968879846381,6,2,4,0.006323185011709602,2.21129799304904,moisture > 88.58,0
19,880906355044111715629274031211066252453008613553,4,1,3,0.015958514553362328,1.1920354846932375,moisture > 89.16,3
20,1043903249785310589747781639007621873485197433743,2,1,1,0.0,0.00228137231904256,pH > 3.96,4
21,1147257542945440298109815666246017244067397811172,18,18,0,0.0,0.0,Class 0,4
22,1047079156029689005341523092134779784460317576067,6,2,4,0.0027768484442957514,0.009353626508074494,Brix <= 10.47,0
23,1254609139350073366408358171331618191603227032344,2,1,1,8.364001338240215e-05,0.00045627446380851194,moisture > 87.96,3
24,532713744300870815677350821848934444001877176071,3,2,1,1.672800267648043e-05,0.004106470174276607,Pheno > 0.69,0
25,647291524414615663051227101926122920500217886230,2,1,1,5.018400802944129e-05,0.0009125489276170239,moisture <= 87.96,0
26,692974179782182730962353172046240081223686466110,3,2,1,1.672800267648043e-05,0.00228137231904256,Pheno <= 0.69,3
27,1050138127985302820202133187096985161603634357309,2,1,1,0.0,0.008212940348553214,pH > 4.28,1
28,1060084067161209962842478628692160995414009753795,3,1,2,0.000351288056206089,0.006615979725223423,moisture > 86.88,3
29,269231723888614229279723687375537811294992806521,5,2,3,0.0027601204416192707,0.0036501957104680956,pH <= 5.01,3
30,527059532766714304085954891916145060191909943540,3,2,1,0.0,0.00456274463808512,pH > 5.01,0
31,106371454088754143849264350724796277613485886699,2,1,1,0.0,0.007300391420936191,moisture > 82.29,1
32,1064722700211612430482514847059080720237476709767,2,1,1,0.0,0.00912548927617024,Tit Acid <= 0.25,1
33,1070714795032507544760283061226237462475556627885,3,1,2,0.0048009367681498836,1.4914018882502826,Brix > 9.25,2
34,1351945955060965088498220515028432149719863926292,12,5,7,0.02764302442288391,2.272212872543488,Tit Acid <= 0.11,2
35,227433626263115702977273694017012744327541066228,12,5,7,0.026714620274339244,1.638246400913951,Tit Acid > 0.11,3
36,1077766440587969615108921971347658648400205152291,2,1,1,3.345600535296086e-05,0.00045627446380851194,Brix > 11.65,2
37,1078664175220452826181491234246161857680321264899,3,1,2,0.002626296420207427,0.00456274463808512,Pheno <= 0.78,1
38,708307369965008590189675821508918649697763876974,2,1,1,5.018400802944129e-05,0.0018250978552340478,moisture > 88.81,1
39,977286805996686270201311206481905987913845796832,2,1,1,3.345600535296086e-05,0.00045627446380851194,moisture <= 88.81,0
40,1078718250260529169811044400086132239331939615427,2,1,1,1.672800267648043e-05,0.00228137231904256,moisture > 88.08,0
41,1084251021297852025110799230501022317851666576367,6,3,3,0.005235864837738374,0.013536142426319186,Tit Acid > 0.16,0
42,344374707049404674276662998256192058261482321044,3,1,2,0.0027768484442957514,0.0018250978552340478,Brix <= 11.1,3
43,802523795241509955998960003552105484779323386560,2,1,1,0.0,0.004106470174276607,Brix > 11.1,0
44,108695551173216811220809398532289050002057560322,8,3,5,0.017648042823686854,1.6466119923944431,pH > 5.16,0
45,124210201951521362978433460778195822768531021450,6,3,3,0.0030277684844429577,0.004106470174276607,Pheno > 0.75,3
46,469361508389853439729697629011115598507104148813,5,3,2,0.00021746403479424559,0.008669214812361726,Pheno <= 0.75,4
47,574547959522810993478881239530428912007409448452,3,1,2,0.013365674138507862,1.5362399073842279,Brix <= 10.9,0
48,948520268441144489078643971563148628499226892328,3,1,2,0.0,0.014981011561712809,Brix > 10.9,4
49,1092810479860852010962744361185020914673156703389,3,1,2,0.005720976915356306,2.070076141385217,moisture <= 85.23,3
50,1321661511126510148468737894218929275593525496686,4,3,1,3.345600535296086e-05,0.0036501957104680956,Tit Acid <= 0.1,2
51,542587181052035438973110002434304419085007660766,6,3,3,0.01942121110739378,2.4907881751496412,Tit Acid > 0.1,3
52,1097393218549485926510675082709423471387496958586,2,1,1,1.672800267648043e-05,0.00045627446380851194,pH > 5.34,3
53,1098687669563514264025770275896785710322424675602,3,1,2,0.00272666443626631,0.0036501957104680956,pH <= 4.16,4
54,110446626826307389898629859452394264952855631815,2,1,1,3.345600535296086e-05,0.00045627446380851194,Tit Acid <= 0.3,1
