,Node,Degree,In degree nodes,Out degree nodes,Betweenness centrality,Local reaching centrality,Label
27,1315263992246098705016715616857324464044058944154,1,1,0,0.0,0.0,Class 1 (Probability: 0.5321)
25,321233504905234640846420687507218490735772582681,1,1,0,0.0,0.0,Class 0 (Probability: 0.4845)
24,185920890558797760791609760956199691524646802799,1,1,0,0.0,0.0,Class 1 (Probability: 0.5998)
23,491913327614705089357527695989730681892470944899,1,1,0,0.0,0.0,Class 0 (Probability: 0.4460)
22,1194804088107593263076421869793094216967348850965,1,1,0,0.0,0.0,Class 1 (Probability: 0.5449)
21,1066480961087514065566164202782329353989109120913,1,1,0,0.0,0.0,Class 0 (Probability: 0.4479)
6,455032733813877438480978051826406058873921822208,1,1,0,0.0,0.0,Class 0 (Probability: 0.4910)
20,1036386255111536840250463278410476401282980301551,1,1,0,0.0,0.0,Class 1 (Probability: 0.6031)
8,1300742973624065409455712529126423178148658722805,1,1,0,0.0,0.0,Class 0 (Probability: 0.4456)
19,1255988755435176213811234254266389785760455434617,1,1,0,0.0,0.0,Class 0 (Probability: 0.4679)
10,1030437154425366587753228716116517579715482164076,1,1,0,0.0,0.0,Class 1 (Probability: 0.6034)
11,1109293185065071897226122330658029432511549960140,1,1,0,0.0,0.0,Class 0 (Probability: 0.4477)
26,1245193955681080760771226906413136092080522717950,1,1,0,0.0,0.0,Class 0 (Probability: 0.5000)
18,468202129981743041095733489948134238689502359008,2,1,1,0.005698005698005698,0.006335282651072125,petal width (cm) <= 1.6
17,980626214860666167338717335551869057272345367671,2,1,1,0.0014245014245014246,0.006335282651072125,petal width (cm) > 1.5
16,725344612732739884239856357460314147744101751938,2,1,1,0.0014245014245014246,0.09978070175438597,petal width (cm) <= 1.5
0,1076378016306137418140484797636215433012103174846,2,0,2,0.0,0.45957196231319025,petal length (cm) > 4.8
14,868889587586923656450038559937453870985808665160,2,1,1,0.004273504273504274,0.05701754385964913,petal length (cm) <= 5.0
12,702487916433497150990218018059207839730228278362,2,1,1,0.004273504273504274,0.006335282651072125,petal length (cm) > 5.1
9,134051070060347135768999757873807433528685697889,2,0,2,0.0,0.101364522417154,petal length (cm) <= 3.0
5,118674522195135845624885297607337585711584739416,2,1,1,0.004273504273504274,0.006335282651072125,petal length (cm) <= 5.1
15,388534224713253696026803307705489599260631342248,2,0,2,0.0,0.2122319688109162,petal length (cm) <= 4.8
13,776733736952705140699943463440910389557723040572,2,1,1,0.008547008547008548,0.01267056530214425,petal length (cm) > 5.0
7,1217829560045960530051325313700781781172657186469,3,0,3,0.0,0.8233227745289148,petal length (cm) > 3.0
4,986486258845774785516367431286372356007629823293,3,1,2,0.008547008547008548,0.01108674463937622,petal length (cm) <= 4.9
3,492158315383446254022054750315227042637896592998,3,1,2,0.008547008547008548,0.08869395711500976,petal length (cm) > 4.9
1,1103709014759689531508558359238652938938806059872,4,2,2,0.017094017094017096,0.24945175438596492,petal width (cm) > 1.8
2,282350072566180081527949611925763941835589508513,6,2,4,0.025641025641025644,0.15838206627680312,petal width (cm) <= 1.8
